nama_schema,nama_routine,jenis_routine,tipe_hasil
pembayaran,prosesPerhitunganTotalTagihanPerkelas,PROCEDURE,
pembayaran,reProsesDistribusiTarif,PROCEDURE,
pembayaran,reStoreTagihan,PROCEDURE,
pembayaran,storeAdministrasiFarmasi,PROCEDURE,
pembayaran,storeAdministrasiKarcis,PROCEDURE,
pembayaran,storeAdministrasiKartu,PROCEDURE,
pembayaran,storeAkomodasi,PROCEDURE,
pembayaran,storeFarmasi,PROCEDURE,
pembayaran,storeO2,PROCEDURE,
pembayaran,storePenjaminTagihan,PROCEDURE,
pembayaran,storeRincianTagihan,PROCEDURE,
pembayaran,storeRincianTagihanInacbg,PROCEDURE,
pembayaran,storeRincianTagihanPaket,PROCEDURE,
pembayaran,storeTindakanMedis,PROCEDURE,
pendaftaran,CetakBarcodeReg,PROCEDURE,
pendaftaran,CetakBuktiKonsul,PROCEDURE,
pendaftaran,CetakBuktiRegistrasi,PROCEDURE,
pendaftaran,CetakRujukanKeluar,PROCEDURE,
pendaftaran,CetakSEP,PROCEDURE,
pendaftaran,CetakSuratKelahiran,PROCEDURE,
pendaftaran,CetakTracertPasien,PROCEDURE,
pendaftaran,doProsesPaket,PROCEDURE,
pendaftaran,getJumlahAntrianTempatTidur,FUNCTION,smallint
pendaftaran,getLamaDirawat,FUNCTION,smallint
pendaftaran,getLamaDirawatAturan1,FUNCTION,smallint
pendaftaran,getLamaDirawatAturan2,FUNCTION,smallint
pendaftaran,getLamaDirawatSebelumnya,FUNCTION,smallint
pendaftaran,getPendaftaranAsal,FUNCTION,json
pendaftaran,ikutRawatInapIbu,FUNCTION,tinyint
pendaftaran,sudahTerdaftarSKDP,FUNCTION,tinyint
pendaftaran,updateTanggalAdministrasiDanTagihan,PROCEDURE,
penjamin_rs,getKenaikanTarif,FUNCTION,decimal
penjualan,CetakEtiket,PROCEDURE,
penjualan,CetakFakturPenjualan,PROCEDURE,
