kode,nama,tingkat,aktif,kelas_frontend
10,PENDAFTARAN,1,1,
1001,"PASIEN BARU",2,1,
1002,"RAWAT JALAN",2,1,
1003,"GAWAT DARURAT",2,1,
1004,"RAWAT INAP",2,1,
1005,LABORATORIUM,2,1,
1006,RADIOLOGI,2,1,
1007,"PERUBAHAN DATA",2,1,
100701,PASIEN,3,1,
10070101,"UPDATE STATUS PASIEN",4,1,
10070102,"UPLOAD PHOTO PASIEN",4,1,
10070103,"LOCK UNLOCK",4,1,
100702,"PENJAMIN / CARA PEMBAYARAN",3,1,
10070201,"SUDAH FINAL TAGIHAN",4,1,
10070202,"UPDATE SATU EPISODE",4,1,
100703,TUJUAN,3,1,
100704,PAKET,3,1,
100705,"TANGGAL PENDAFTARAN",3,1,
100706,"HAPUS SEP",3,1,
100707,"UPLOAD GENERAL CONSENT",3,1,
1008,PENCETAKAN,2,1,
100801,BARU,3,1,
10080101,"KARTU PASIEN",4,1,
10080102,"BARCODE PASIEN",4,1,
10080103,"BUKTI PENDAFTARAN",4,1,
10080104,"BARCODE PENDAFTARAN",4,1,
10080105,TRACERT,4,1,
100802,ULANG,3,1,
10080201,"KARTU PASIEN",4,1,
10080202,"BARCODE PASIEN",4,1,
10080203,"BUKTI PENDAFTARAN",4,1,
10080204,"BARCODE PENDAFTARAN",4,1,
10080205,TRACERT,4,1,
1009,HISTORY,2,1,
100901,PENDAFTARAN,3,1,
1010,PEMBATALAN,2,1,
1011,PENERIMAAN,2,1,
101101,"PENDAFTARAN KELAHIRAN",3,1,
1012,"TINDAKAN LIST",2,1,
1013,TRIAGE,2,1,
1014,"PASIEN TELAH MENINGGAL (FORENSIK)",2,1,
11,LAYANAN,1,1,
1101,PENERIMAAN,2,1,
110101,"PASIEN PENDAFTARAN / KUNJUNGAN",3,1,
110102,"PASIEN KONSUL",3,1,
110103,"PASIEN MUTASI",3,1,
110104,"ORDER LABORATORIUM",3,1,
110105,"ORDER RADIOLOGI",3,1,
110106,"RESEP PASIEN",3,1,
110107,"OTOMATIS TERIMA ORDER LABORATORIUM",3,1,
110108,"OTOMATIS TERIMA ORDER RADIOLOGI",3,1,
110109,"OTOMATIS TERIMA RESEP",3,1,
110110,"PERUBAHAN TANGGAL KUNJUNGAN",3,1,
110111,"PERUBAHAN DPJP",3,1,
110112,"TAMBAH ITEM FARMASI",3,1,
1102,"PENGINPUTAN TINDAKAN / PEMERIKSAAN MEDIS ",2,1,
110201,VERIFIKASI,4,1,
110202,"BATAL VERIFIKASI",4,1,
1103,PENGIRIMAN,2,1,
110301,"PASIEN KONSUL",3,1,
110302,"PASIEN MUTASI",3,1,
110303,"ORDER LABORATORIUM",3,1,
110304,"ORDER RADIOLOGI",3,1,
110305,"RESEP PASIEN",3,1,
1104,"FEEDBACK / UMPAN BALIK",2,1,
110401,"JAWABAN KONSUL",3,1,
110402,"PENGINPUTAN HASIL LABORATORIUM",3,1,
110403,"PENGINPUTAN HASIL RADIOLOGI",3,1,
1105,PEMBACAAN,2,1,
110501,"JAWABAN KONSUL",3,1,
110502,"HASIL LABORATORIUM",3,1,
110503,"HASIL RADIOLOGI",3,1,
1106,HISTORY,2,1,
110601,"PASIEN KUNJUNGAN",3,1,
110602,"PASIEN KONSUL",3,1,
110603,"PASIEN MUTASI",3,1,
110604,"ORDER LABORATORIUM",3,1,
110605,"ORDER RADIOLOGI",3,1,
110606,"RESEP PASIEN",3,1,
110607,"MY PASIEN",3,1,
1107,PENCETAKAN,2,1,
1108,PEMBATALAN,2,1,
110801,"PENERIMAAN / PENGIRIMAN",3,1,
11080101,"PASIEN PENDAFTARAN / KUNJUNGAN (TUJUAN PASIEN)",4,1,
11080102,"PASIEN KONSUL",4,1,
11080103,"PASIEN MUTASI",4,1,
11080104,"ORDER LABORATORIUM",4,1,
11080105,"ORDER RADIOLOGI",4,1,
11080106,"RESEP PASIEN",4,1,
110802,"PASIEN KUNJUNGAN",3,1,
110803,"PENGINPUTAN TINDAKAN / PEMERIKSAAN MEDIS ",3,1,
110804,FINAL,3,1,
11080401,"ALLOW VALIDASI",4,1,
1109,"FINAL / SELESAI",2,1,
110901,"FINAL HASIL",3,1,
110902,"BATAL FINAL HASIL",3,1,
1110,KELAHIRAN,2,1,
1111,"PEMAKAIAN BHP",2,1,
111101,"PENGINPUTAN BAHAN",3,1,
111102,"PEMBATALAN PENGINPUTAN",3,1,
1112,"BON SISA",2,1,
111201,PELAYANAN,3,1,
1113,"PEMANGGILAN ANTRIAN DI KUNJUNGAN",2,1,
1114,"MENU LAYANAN",2,1,
111416,"LAPORAN OPERASI / TINDAKAN INVASIF",3,1,
1115,KPO,2,1,
111501,KPO,3,1,
111502,"INPUT WAKTU PEMBERIAN",3,1,
11150201,"FINAL DAN BATAL FINAL INPUT WAKTU PEMBERIAN",4,1,
1116,"FORMULIR ANTIMIKROBA",2,1,
111601,"KIRIM FORMULIR ANTIMIKROBA",3,1,
12,PEMBAYARAN,1,1,
1201,"FINAL TAGIHAN",2,1,
1202,"PENERIMAAN UANG MUKA",2,1,
1203,"PENGEMBALIAN UANG MUKA",2,1,
1204,PIUTANG,2,1,
1205,"PELUNASAN PIUTANG",2,1,
1206,"PEMBAYARAN NON TUNAI",2,1,
1207,DISKON,2,1,
1208,"PEMBATALAN TAGIHAN FINAL",2,1,
1209,"TRANSAKSI KASIR",2,1,
1211,"BATAL GABUNG TAGIHAN",2,1,
1212,PENJAMIN,2,1,
1213,PENCETAKAN,2,1,
121301,"KUITANSI TAGIHAN",3,1,
1214,"TRANSAKSI PENJUALAN",2,1,
121401,"FINAL TAGIHAN PENJUALAN",3,1,
121402,"PEMBATALAN TAGIHAN PENJUALAN",3,1,
1215,"PEMBATALAN  PERMINTAAN LAYANAN YG BELUM DITERIMA",2,1,
13,"REKAM MEDIS",1,1,rekammedis.Workspace
1301,"PENCETAKAN / LEMBARAN",2,1,
130101,"RAWAT JALAN",3,1,
13010101,"MR1 - PENDAFTARAN",4,1,
130102,"GAWAT DARURAT",3,1,
13010201,"MR2 - PENGKAJIAN AWAL MEDIS PASIEN",4,1,
130103,"RAWAT INAP",3,1,
13010301,"MR1a - PENDAFTARAN",4,1,
13010302,"MR1 - RINGKASAN MASUK DAN KELUAR",4,1,
13010303,"MR2 - RESUME MEDIS",4,1,
1302,ANAMNESIS,2,1,rekammedis.anamnesis.Workspace
130201,"RIWAYAT PENYAKIT SEKARANG (UMUM)",3,1,rekammedis-anamnesis-umum-workspace
130202,RIWAYAT,3,1,rekammedis-anamnesis-riwayat-workspace
13020201,"PENYAKIT DAHULU",4,1,rekammedis-anamnesis-riwayat-perjalananpenyakit-workspace
13020202,ALERGI,4,1,rekammedis-anamnesis-riwayat-alergi-workspace
13020203,"PEMBERIAN OBAT",4,1,rekammedis-anamnesis-riwayat-pemberianobat-workspace
13020204,LAINNYA,4,1,rekammedis-anamnesis-riwayat-lainnya-workspace
13020205,"FAKTOR RISIKO",4,1,rekammedis-anamnesis-riwayat-faktorrisiko-workspace
13020206,"PENYAKIT KELUARGA",4,1,rekammedis-anamnesis-riwayat-penyakitkeluarga-workspace
13020207,TUBERKULOSIS,4,1,rekammedis-anamnesis-riwayat-penyakittb-workspace
13020208,GINEKOLOGI,4,1,rekammedis-anamnesis-riwayat-gynekologi-workspace
13020209,"PERAWATAN DAN TINDAKAN",4,1,rekammedis-anamnesis-riwayat-perawatandantindakan-workspace
13020210,OBSTETRI,4,1,rekammedis-anamnesis-riwayat-obstetri-workspace
13020211,"IMUNISASI / PEMBERIAN VAKSIN",4,1,rekammedis-anamnesis-riwayat-imunisasivaksin-workspace
130203,"KELUHAN UTAMA",3,1,rekammedis-anamnesis-keluhan-utama-workspace
130204,"STATUS FUNGSIONAL",3,1,rekammedis-anamnesis-statusfungsional-workspace
130205,"HUBUNGAN STATUS PSIKOSOSIAL",3,1,rekammedis-anamnesis-hubunganpsikososial-workspace
13020501,GENERAL,4,1,rekammedis-anamnesis-hubunganpsikososial-kondisisosial-workspace
13020502,"END OF LIFE",4,1,rekammedis-anamnesis-hubunganpsikososial-endoflife-workspace
130206,EDUKASI,3,1,rekammedis-anamnesis-edukasi-workspace
13020601,"PASIEN & KELUARGA",4,1,rekammedis-anamnesis-edukasi-pasienkeluarga-workspace
13020602,EMERGENCY,4,1,rekammedis-anamnesis-edukasi-emergency-workspace
13020603,"INFORMED CONSENT",4,1,rekammedis-anamnesis-edukasi-informedconsent-upload-form
13020604,"END OF LIFE",4,1,rekammedis-anamnesis-edukasi-endoflife-workspace
130207,"SKRINING GIZI AWAL",3,1,rekammedis-anamnesis-permasalahangizi-workspace
13020701,"HITUNG ULANG",4,1,
13020702,VALIDASI,4,1,
13020703,"BATAL VALIDASI",4,1,
130208,BATUK,3,1,rekammedis-anamnesis-batuk-workspace
130209,DIPEROLEH,3,1,rekammedis-anamnesis-diperoleh-workspace
130210,"SKRINING ORANG TUA",3,1,rekammedis-anamnesis-skriningorangtua-workspace
130211,"DISCHARGE PLANNING",3,1,rekammedis-perencanaan-dischargeplanning-skrining-workspace
1303,PEMERIKSAAN,2,1,rekammedis.pemeriksaan.Workspace
